name,adpe,pe,gwp,wue
ARG,0.00000007686,7.8888,0.35895,11.4558
AUS,0.00000007908,12.2247,0.55159,4.7293
AUT,0.00000014112,2.8363,0.10262,5.7222
BEL,0.00000003372,8.9876,0.11758,2.6198
BGR,0.00000008236,12.118,0.26421,4.6228
BRA,0.00000010962,1.7701,0.10321,18.6033
CAN,0.00000009932,4.1955,0.17481,8.1662
CHE,0.00000010047,4.7362,0.0366,5.6641
CHL,0.00000010585,6.434,0.26552,10.5226
CHN,0.00000008516,10.6736,0.55955,6.0065
CYP,0.00000004488,11.9763,0.51224,1.2947
CZE,0.00000008176,11.103,0.41386,3.2133
DEU,0.00000008787,8.7477,0.34414,1.947
DNK,0.00000001574,6.6454,0.1433,3.1935
ESP,0.00000005183,7.4839,0.14615,6.2088
EST,0.00000009902,14.2926,0.34102,2.1986
FIN,0.00000008051,6.2915,0.07225,4.5289
FRA,0.00000004858,9.3135,0.04418,3.6737
GBR,0.0000000371,9.0976,0.21089,2.329
GRC,0.00000006916,10.5179,0.31976,5.1451
HUN,0.00000006446,10.5942,0.18282,3.6874
IDN,0.00000006105,9.7582,0.68243,2.2554
IND,0.0000001001,16.6775,0.70832,3.4368
IRL,0.00000002193,8.0614,0.2797,1.4769
ISL,0.00000007819,0.0128,0.02833,6.1409
ITA,0.00000005439,7.9351,0.28753,4.8374
JPN,0.00000005966,9.1105,0.48232,2.3063
KOR,0.0000000518,9.9136,0.41427,1.8877
LTU,0.00000002946,10.6476,0.13934,5.8994
LUX,0.00000010569,8.0213,0.13462,12.7784
LVA,0.00000015376,3.7781,0.13622,2.5526
MEX,0.00000005784,9.9732,0.48483,5.3047
MLT,0.00000004948,16.3514,0.48416,1.1185
MYS,0.00000004494,10.5875,0.60443,1.6778
NLD,0.00000003293,7.4815,0.25331,3.433
NOR,0.00000012749,0.1386,0.03075,6.6633
NZL,0.00000007205,3.9817,0.12011,14.9681
POL,0.00000010195,11.1352,0.61498,2.5135
PRT,0.00000003419,6.5813,0.11229,9.5932
ROU,0.00000009818,9.1329,0.24555,7.3563
RUS,0.00000009603,10.9691,0.4492,3.4595
SVK,0.00000006061,8.8184,0.09649,5.7952
SVN,0.00000009923,8.4293,0.22765,2.9769
SWE,0.00000007771,4.7301,0.03582,6.0315
THA,0.00000005696,9.0495,0.5545,2.8902
TUR,0.00000007498,8.7855,0.4697,4.9197
TWN,0.00000005781,10.9587,0.63565,1.4886
UKR,0.00000006479,12.2117,0.25621,2.1306
USA,0.00000009855,9.6884,0.38355,3.1321
WOR,0.00000001349,2.5871,0.47301,3.908
